Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Matchweek 1,Home,W,2.0,1.0,Nottingham Forest,0.8,1.2,78.0
Matchweek 2,Away,W,1.0,0.0,Crystal Palace,2.0,1.0,53.0
Matchweek 3,Home,D,2.0,2.0,Fulham,3.2,0.6,71.0
Matchweek 4,Home,W,3.0,1.0,Manchester United,2.3,0.9,55.0
Matchweek 5,Away,W,1.0,0.0,Everton,1.0,0.3,74.0
Matchweek 6,Home,D,2.0,2.0,Tottenham Hotspur,1.8,1.4,47.0
Matchweek 7,Away,W,4.0,0.0,Bournemouth,3.4,0.6,57.0
Matchweek 8,Home,W,1.0,0.0,Manchester City,0.4,0.5,49.0
Matchweek 9,Away,D,2.0,2.0,Chelsea,1.0,1.3,56.0
Matchweek 10,Home,W,5.0,0.0,Sheffield United,2.8,0.0,67.0
Matchweek 11,Away,L,0.0,1.0,Newcastle United,0.6,1.0,58.0
Matchweek 12,Home,W,3.0,1.0,Burnley,1.8,0.3,63.0
Matchweek 13,Away,W,1.0,0.0,Brentford,1.6,1.1,63.0
Matchweek 14,Home,W,2.0,1.0,Wolverhampton Wanderers,2.8,0.7,57.0
Matchweek 15,Away,W,4.0,3.0,Luton Town,2.2,0.5,66.0
Matchweek 16,Away,L,0.0,1.0,Aston Villa,1.4,0.6,61.0
Matchweek 17,Home,W,2.0,0.0,Brighton & Hove Albion,2.3,0.7,49.0
Matchweek 18,Away,D,1.0,1.0,Liverpool,0.7,1.0,48.0
Matchweek 19,Home,L,0.0,2.0,West Ham United,2.7,1.4,73.0
Matchweek 20,Away,L,1.0,2.0,Fulham,1.6,1.2,60.0
Matchweek 21,Home,W,5.0,0.0,Crystal Palace,3.3,0.3,60.0
Matchweek 22,Away,W,2.0,1.0,Nottingham Forest,1.2,0.5,73.0
Matchweek 23,Home,W,3.0,1.0,Liverpool,3.5,0.4,43.0
Matchweek 24,Away,W,6.0,0.0,West Ham United,3.6,0.2,70.0
Matchweek 25,Away,W,5.0,0.0,Burnley,2.3,0.3,64.0
Matchweek 26,Home,W,4.0,1.0,Newcastle United,2.8,0.2,55.0
Matchweek 27,Away,W,6.0,0.0,Sheffield United,2.3,0.2,80.0
Matchweek 28,Home,W,2.0,1.0,Brentford,1.3,1.0,71.0
Matchweek 30,Away,D,0.0,0.0,Manchester City,0.7,1.0,28.0
Matchweek 31,Home,W,2.0,0.0,Luton Town,0.7,0.3,58.0
Matchweek 32,Away,W,3.0,0.0,Brighton & Hove Albion,3.4,0.5,46.0
Matchweek 33,Home,L,0.0,2.0,Aston Villa,1.6,0.9,52.0
Matchweek 34,Away,W,2.0,0.0,Wolverhampton Wanderers,1.2,0.2,54.0
Matchweek 29,Home,W,5.0,0.0,Chelsea,3.3,1.6,45.0
Matchweek 35,Away,W,3.0,2.0,Tottenham Hotspur,1.0,2.3,38.0
Matchweek 36,Home,W,3.0,0.0,Bournemouth,3.3,0.5,55.0
Matchweek 37,Away,W,1.0,0.0,Manchester United,1.5,0.5,46.0
Matchweek 38,Home,,,,Everton,,,
