Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Arsenal,Nott'ham Forest,W,Home,2,1,0.8,1.2,78
Matchweek 2,Arsenal,Crystal Palace,W,Away,1,0,2.0,1.0,53
Matchweek 3,Arsenal,Fulham,D,Home,2,2,3.2,0.6,71
Matchweek 4,Arsenal,Manchester Utd,W,Home,3,1,2.3,0.9,55
Matchweek 5,Arsenal,Everton,W,Away,1,0,1.0,0.3,74
Matchweek 6,Arsenal,Tottenham,D,Home,2,2,1.8,1.4,47
Matchweek 7,Arsenal,Bournemouth,W,Away,4,0,3.4,0.6,57
Matchweek 8,Arsenal,Manchester City,W,Home,1,0,0.4,0.5,49
Matchweek 9,Arsenal,Chelsea,D,Away,2,2,1.0,1.3,56
Matchweek 10,Arsenal,Sheffield Utd,W,Home,5,0,2.8,0.0,67
Matchweek 11,Arsenal,Newcastle Utd,L,Away,0,1,0.6,1.0,58
Matchweek 12,Arsenal,Burnley,W,Home,3,1,1.8,0.3,63
Matchweek 13,Arsenal,Brentford,W,Away,1,0,1.6,1.1,63
Matchweek 14,Arsenal,Wolves,W,Home,2,1,2.8,0.7,57
Matchweek 15,Arsenal,Luton Town,W,Away,4,3,2.2,0.5,66
Matchweek 16,Arsenal,Aston Villa,L,Away,0,1,1.4,0.6,61
Matchweek 17,Arsenal,Brighton,W,Home,2,0,2.3,0.7,49
Matchweek 18,Arsenal,Liverpool,D,Away,1,1,0.7,1.0,48
Matchweek 19,Arsenal,West Ham,L,Home,0,2,2.7,1.4,73
Matchweek 20,Arsenal,Fulham,L,Away,1,2,1.6,1.2,60
Matchweek 21,Arsenal,Crystal Palace,W,Home,5,0,3.3,0.3,60
Matchweek 22,Arsenal,Nott'ham Forest,W,Away,2,1,1.2,0.5,73
Matchweek 23,Arsenal,Liverpool,W,Home,3,1,3.5,0.4,43
Matchweek 24,Arsenal,West Ham,W,Away,6,0,3.6,0.2,70
Matchweek 25,Arsenal,Burnley,W,Away,5,0,2.3,0.3,64
Matchweek 26,Arsenal,Newcastle Utd,W,Home,4,1,2.8,0.2,55
Matchweek 27,Arsenal,Sheffield Utd,W,Away,6,0,2.3,0.2,80
Matchweek 28,Arsenal,Brentford,W,Home,2,1,1.3,1.0,71
Matchweek 30,Arsenal,Manchester City,D,Away,0,0,0.7,1.0,28
Matchweek 31,Arsenal,Luton Town,W,Home,2,0,0.7,0.3,58
Matchweek 32,Arsenal,Brighton,W,Away,3,0,3.4,0.5,46
Matchweek 33,Arsenal,Aston Villa,L,Home,0,2,1.6,0.9,52
Matchweek 34,Arsenal,Wolves,W,Away,2,0,1.2,0.2,54
Matchweek 29,Arsenal,Chelsea,W,Home,5,0,3.3,1.6,45
Matchweek 35,Arsenal,Tottenham,W,Away,3,2,1.0,2.3,38
Matchweek 36,Arsenal,Bournemouth,W,Home,3,0,3.3,0.5,55
Matchweek 37,Arsenal,Manchester Utd,W,Away,1,0,1.5,0.5,46
Matchweek 38,Arsenal,Everton,W,Home,2,1,2.9,0.6,68
