Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Aston-Villa,Newcastle Utd,L,Away,1,5,1.8,3.3,48
Matchweek 2,Aston-Villa,Everton,W,Home,4,0,2.9,0.6,60
Matchweek 3,Aston-Villa,Burnley,W,Away,3,1,2.5,0.7,43
Matchweek 4,Aston-Villa,Liverpool,L,Away,0,3,0.7,2.5,37
Matchweek 5,Aston-Villa,Crystal-Palace,W,Home,3,1,3.0,1.2,66
Matchweek 6,Aston-Villa,Chelsea,W,Away,1,0,1.0,1.3,47
Matchweek 7,Aston-Villa,Brighton,W,Home,6,1,1.6,1.7,39
Matchweek 8,Aston-Villa,Wolves,D,Away,1,1,1.6,1.7,53
Matchweek 9,Aston-Villa,West Ham,W,Home,4,1,1.9,1.1,58
Matchweek 10,Aston-Villa,Luton-Town,W,Home,3,1,2.3,0.5,70
Matchweek 11,Aston-Villa,Nottingham-Forest,L,Away,0,2,1.2,0.4,73
Matchweek 12,Aston-Villa,Fulham,W,Home,3,1,3.0,0.9,51
Matchweek 13,Aston-Villa,Tottenham,W,Away,2,1,1.7,2.3,38
Matchweek 14,Aston-Villa,Bournemouth,D,Away,2,2,0.7,2.0,62
Matchweek 15,Aston-Villa,Manchester-City,W,Home,1,0,2.3,0.6,46
Matchweek 16,Aston-Villa,Arsenal,W,Home,1,0,0.6,1.4,39
Matchweek 17,Aston-Villa,Brentford,W,Away,2,1,1.4,0.5,66
Matchweek 18,Aston-Villa,Sheffield Utd,D,Home,1,1,0.9,0.6,77
Matchweek 19,Aston-Villa,Manchester Utd,L,Away,2,3,1.7,1.1,54
Matchweek 20,Aston-Villa,Burnley,W,Home,3,2,3.2,1.2,64
Matchweek 21,Aston-Villa,Everton,D,Away,0,0,1.2,1.1,68
Matchweek 22,Aston-Villa,Newcastle Utd,L,Home,1,3,1.4,2.6,61
Matchweek 23,Aston-Villa,Sheffield Utd,W,Away,5,0,2.2,1.4,63
Matchweek 24,Aston-Villa,Manchester Utd,L,Home,1,2,2.4,1.8,56
Matchweek 25,Aston-Villa,Fulham,W,Away,2,1,1.5,1.5,48
Matchweek 26,Aston-Villa,Nottingham-Forest,W,Home,4,2,3.6,2.6,58
Matchweek 27,Aston-Villa,Luton-Town,W,Away,3,2,1.9,1.8,54
Matchweek 28,Aston-Villa,Tottenham,L,Home,0,4,0.8,1.5,32
Matchweek 29,Aston-Villa,West Ham,D,Away,1,1,0.7,2.0,69
Matchweek 30,Aston-Villa,Wolves,W,Home,2,0,1.0,1.5,48
Matchweek 31,Aston-Villa,Manchester-City,L,Away,1,4,0.8,3.4,33
Matchweek 32,Aston-Villa,Brentford,D,Home,3,3,1.5,1.5,69
Matchweek 33,Aston-Villa,Arsenal,W,Away,2,0,0.9,1.6,48
Matchweek 34,Aston-Villa,Bournemouth,W,Home,3,1,2.4,1.8,56
Matchweek 35,Aston-Villa,Chelsea,D,Home,2,2,1.1,1.6,29
Matchweek 36,Aston-Villa,Brighton,L,Away,0,1,0.1,2.5,48
Matchweek 37,Aston-Villa,Liverpool,D,Home,3,3,3.1,1.7,41
Matchweek 38,Aston-Villa,Crystal-Palace,L,Away,0,5,0.9,2.5,46
