Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Matchweek 1,Home,D,2.0,2.0,Tottenham Hotspur,2.2,1.3,31.0
Matchweek 2,Away,W,3.0,0.0,Fulham,3.7,0.5,45.0
Matchweek 3,Home,D,1.0,1.0,Crystal Palace,1.0,0.8,60.0
Matchweek 4,Home,D,2.0,2.0,Bournemouth,2.9,2.1,60.0
Matchweek 5,Away,L,0.0,1.0,Newcastle United,0.5,1.4,44.0
Matchweek 6,Home,L,1.0,3.0,Everton,1.0,1.9,57.0
Matchweek 7,Away,D,1.0,1.0,Nottingham Forest,1.6,0.5,59.0
Matchweek 8,Away,L,1.0,2.0,Manchester United,0.9,1.4,36.0
Matchweek 9,Home,W,3.0,0.0,Burnley,3.1,1.1,50.0
Matchweek 10,Away,W,2.0,0.0,Chelsea,2.2,1.9,32.0
Matchweek 11,Home,W,3.0,2.0,West Ham United,1.5,1.8,58.0
Matchweek 12,Away,L,0.0,3.0,Liverpool,1.6,1.7,42.0
Matchweek 13,Home,L,0.0,1.0,Arsenal,1.1,1.6,37.0
Matchweek 14,Home,W,3.0,1.0,Luton Town,3.1,0.2,68.0
Matchweek 15,Away,L,1.0,2.0,Brighton & Hove Albion,1.5,1.5,39.0
Matchweek 16,Away,L,0.0,1.0,Sheffield United,0.6,0.8,59.0
Matchweek 17,Home,L,1.0,2.0,Aston Villa,0.5,1.4,34.0
Matchweek 19,Home,L,1.0,4.0,Wolverhampton Wanderers,2.2,2.4,60.0
Matchweek 20,Away,L,1.0,3.0,Crystal Palace,1.4,1.0,54.0
Matchweek 21,Home,W,3.0,2.0,Nottingham Forest,1.2,1.2,48.0
Matchweek 22,Away,L,2.0,3.0,Tottenham Hotspur,1.6,2.9,33.0
Matchweek 23,Home,L,1.0,3.0,Manchester City,1.0,2.1,28.0
Matchweek 24,Away,W,2.0,0.0,Wolverhampton Wanderers,1.9,1.0,29.0
Matchweek 25,Home,L,1.0,4.0,Liverpool,1.6,2.8,38.0
Matchweek 18,Away,L,0.0,1.0,Manchester City,0.4,2.3,30.0
Matchweek 26,Away,L,2.0,4.0,West Ham United,0.9,1.7,59.0
Matchweek 27,Home,D,2.0,2.0,Chelsea,1.8,1.8,33.0
Matchweek 28,Away,L,1.0,2.0,Arsenal,1.0,1.3,29.0
Matchweek 29,Away,L,1.0,2.0,Burnley,1.1,2.8,40.0
Matchweek 30,Home,D,1.0,1.0,Manchester United,3.2,0.6,47.0
Matchweek 31,Home,D,0.0,0.0,Brighton & Hove Albion,0.6,1.1,34.0
Matchweek 32,Away,D,3.0,3.0,Aston Villa,1.5,1.5,31.0
Matchweek 33,Home,W,2.0,0.0,Sheffield United,1.0,0.8,53.0
Matchweek 34,Away,W,5.0,1.0,Luton Town,3.1,0.6,47.0
Matchweek 35,Away,L,0.0,1.0,Everton,0.9,0.8,52.0
Matchweek 36,Home,D,0.0,0.0,Fulham,0.6,1.3,54.0
Matchweek 37,Away,W,2.0,1.0,Bournemouth,1.1,0.7,52.0
Matchweek 38,Home,,,,Newcastle United,,,
