Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Brentford,Tottenham,D,Home,2,2,2.2,1.3,31
Matchweek 2,Brentford,Fulham,W,Away,3,0,3.7,0.5,45
Matchweek 3,Brentford,Crystal-Palace,D,Home,1,1,1.0,0.8,60
Matchweek 4,Brentford,Bournemouth,D,Home,2,2,2.9,2.1,60
Matchweek 5,Brentford,Newcastle Utd,L,Away,0,1,0.5,1.4,44
Matchweek 6,Brentford,Everton,L,Home,1,3,1.0,1.9,57
Matchweek 7,Brentford,Nottingham-Forest,D,Away,1,1,1.6,0.5,59
Matchweek 8,Brentford,Manchester Utd,L,Away,1,2,0.9,1.4,36
Matchweek 9,Brentford,Burnley,W,Home,3,0,3.1,1.1,50
Matchweek 10,Brentford,Chelsea,W,Away,2,0,2.2,1.9,32
Matchweek 11,Brentford,West Ham,W,Home,3,2,1.5,1.8,58
Matchweek 12,Brentford,Liverpool,L,Away,0,3,1.6,1.7,42
Matchweek 13,Brentford,Arsenal,L,Home,0,1,1.1,1.6,37
Matchweek 14,Brentford,Luton-Town,W,Home,3,1,3.1,0.2,68
Matchweek 15,Brentford,Brighton,L,Away,1,2,1.5,1.5,39
Matchweek 16,Brentford,Sheffield Utd,L,Away,0,1,0.6,0.8,59
Matchweek 17,Brentford,Aston-Villa,L,Home,1,2,0.5,1.4,34
Matchweek 19,Brentford,Wolves,L,Home,1,4,2.2,2.4,60
Matchweek 20,Brentford,Crystal-Palace,L,Away,1,3,1.4,1.0,54
Matchweek 21,Brentford,Nottingham-Forest,W,Home,3,2,1.2,1.2,48
Matchweek 22,Brentford,Tottenham,L,Away,2,3,1.6,2.9,33
Matchweek 23,Brentford,Manchester-City,L,Home,1,3,1.0,2.1,28
Matchweek 24,Brentford,Wolves,W,Away,2,0,1.9,1.0,29
Matchweek 25,Brentford,Liverpool,L,Home,1,4,1.6,2.8,38
Matchweek 18,Brentford,Manchester-City,L,Away,0,1,0.4,2.3,30
Matchweek 26,Brentford,West Ham,L,Away,2,4,0.9,1.7,59
Matchweek 27,Brentford,Chelsea,D,Home,2,2,1.8,1.8,33
Matchweek 28,Brentford,Arsenal,L,Away,1,2,1.0,1.3,29
Matchweek 29,Brentford,Burnley,L,Away,1,2,1.1,2.8,40
Matchweek 30,Brentford,Manchester Utd,D,Home,1,1,3.2,0.6,47
Matchweek 31,Brentford,Brighton,D,Home,0,0,0.6,1.1,34
Matchweek 32,Brentford,Aston-Villa,D,Away,3,3,1.5,1.5,31
Matchweek 33,Brentford,Sheffield Utd,W,Home,2,0,1.0,0.8,53
Matchweek 34,Brentford,Luton-Town,W,Away,5,1,3.1,0.6,47
Matchweek 35,Brentford,Everton,L,Away,0,1,0.9,0.8,52
Matchweek 36,Brentford,Fulham,D,Home,0,0,0.6,1.3,54
Matchweek 37,Brentford,Bournemouth,W,Away,2,1,1.1,0.7,52
Matchweek 38,Brentford,Newcastle Utd,L,Home,2,4,1.1,3.4,54
