Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Brighton-and-Hove-Albion,Luton-Town,W,Home,4,1,4.0,1.5,70
Matchweek 2,Brighton-and-Hove-Albion,Wolves,W,Away,4,1,2.2,2.1,53
Matchweek 3,Brighton-and-Hove-Albion,West Ham,L,Home,1,3,1.5,3.0,78
Matchweek 4,Brighton-and-Hove-Albion,Newcastle Utd,W,Home,3,1,1.3,1.2,56
Matchweek 5,Brighton-and-Hove-Albion,Manchester Utd,W,Away,3,1,1.7,1.0,56
Matchweek 6,Brighton-and-Hove-Albion,Bournemouth,W,Home,3,1,1.9,1.1,61
Matchweek 7,Brighton-and-Hove-Albion,Aston-Villa,L,Away,1,6,1.7,1.6,61
Matchweek 8,Brighton-and-Hove-Albion,Liverpool,D,Home,2,2,2.3,2.3,46
Matchweek 9,Brighton-and-Hove-Albion,Manchester-City,L,Away,1,2,0.8,0.8,45
Matchweek 10,Brighton-and-Hove-Albion,Fulham,D,Home,1,1,1.4,0.7,71
Matchweek 11,Brighton-and-Hove-Albion,Everton,D,Away,1,1,0.5,0.7,79
Matchweek 12,Brighton-and-Hove-Albion,Sheffield Utd,D,Home,1,1,1.5,1.1,61
Matchweek 13,Brighton-and-Hove-Albion,Nottingham-Forest,W,Away,3,2,1.3,1.9,53
Matchweek 14,Brighton-and-Hove-Albion,Chelsea,L,Away,2,3,1.1,2.1,68
Matchweek 15,Brighton-and-Hove-Albion,Brentford,W,Home,2,1,1.5,1.5,61
Matchweek 16,Brighton-and-Hove-Albion,Burnley,D,Home,1,1,2.6,0.6,72
Matchweek 17,Brighton-and-Hove-Albion,Arsenal,L,Away,0,2,0.7,2.3,51
Matchweek 18,Brighton-and-Hove-Albion,Crystal-Palace,D,Away,1,1,1.2,1.3,65
Matchweek 19,Brighton-and-Hove-Albion,Tottenham,W,Home,4,2,3.2,2.3,45
Matchweek 20,Brighton-and-Hove-Albion,West Ham,D,Away,0,0,2.3,0.7,68
Matchweek 21,Brighton-and-Hove-Albion,Wolves,D,Home,0,0,1.0,1.1,72
Matchweek 22,Brighton-and-Hove-Albion,Luton-Town,L,Away,0,4,0.9,3.1,59
Matchweek 23,Brighton-and-Hove-Albion,Crystal-Palace,W,Home,4,1,1.4,0.3,68
Matchweek 24,Brighton-and-Hove-Albion,Tottenham,L,Away,1,2,1.2,1.6,48
Matchweek 25,Brighton-and-Hove-Albion,Sheffield Utd,W,Away,5,0,2.9,0.6,79
Matchweek 26,Brighton-and-Hove-Albion,Everton,D,Home,1,1,1.4,0.3,64
Matchweek 27,Brighton-and-Hove-Albion,Fulham,L,Away,0,3,1.3,1.3,70
Matchweek 28,Brighton-and-Hove-Albion,Nottingham-Forest,W,Home,1,0,0.4,0.7,63
Matchweek 30,Brighton-and-Hove-Albion,Liverpool,L,Away,1,2,0.5,2.8,45
Matchweek 31,Brighton-and-Hove-Albion,Brentford,D,Away,0,0,1.1,0.6,66
Matchweek 32,Brighton-and-Hove-Albion,Arsenal,L,Home,0,3,0.5,3.4,54
Matchweek 33,Brighton-and-Hove-Albion,Burnley,D,Away,1,1,0.9,1.7,56
Matchweek 29,Brighton-and-Hove-Albion,Manchester-City,L,Home,0,4,0.6,1.4,36
Matchweek 35,Brighton-and-Hove-Albion,Bournemouth,L,Away,0,3,0.9,1.9,69
Matchweek 36,Brighton-and-Hove-Albion,Aston-Villa,W,Home,1,0,2.5,0.1,52
Matchweek 37,Brighton-and-Hove-Albion,Newcastle Utd,D,Away,1,1,1.4,2.2,43
Matchweek 34,Brighton-and-Hove-Albion,Chelsea,L,Home,1,2,1.3,1.5,55
Matchweek 38,Brighton-and-Hove-Albion,Manchester Utd,L,Home,0,2,1.7,1.3,55
