Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Matchweek 1,Home,L,0.0,3.0,Manchester City,0.3,1.9,35.0
Matchweek 3,Home,L,1.0,3.0,Aston Villa,0.7,2.5,57.0
Matchweek 4,Home,L,2.0,5.0,Tottenham Hotspur,1.3,2.2,47.0
Matchweek 5,Away,D,1.0,1.0,Nottingham Forest,0.5,0.7,54.0
Matchweek 6,Home,L,0.0,1.0,Manchester United,1.1,1.0,61.0
Matchweek 7,Away,L,0.0,2.0,Newcastle United,0.6,3.1,47.0
Matchweek 2,Away,W,2.0,1.0,Luton Town,1.1,1.3,51.0
Matchweek 8,Home,L,1.0,4.0,Chelsea,0.7,1.9,38.0
Matchweek 9,Away,L,0.0,3.0,Brentford,1.1,3.1,50.0
Matchweek 10,Away,L,1.0,2.0,Bournemouth,0.8,1.1,55.0
Matchweek 11,Home,L,0.0,2.0,Crystal Palace,1.1,1.3,67.0
Matchweek 12,Away,L,1.0,3.0,Arsenal,0.3,1.8,37.0
Matchweek 13,Home,L,1.0,2.0,West Ham United,1.3,0.9,50.0
Matchweek 14,Home,W,5.0,0.0,Sheffield United,1.8,0.4,63.0
Matchweek 15,Away,L,0.0,1.0,Wolverhampton Wanderers,0.9,0.8,49.0
Matchweek 16,Away,D,1.0,1.0,Brighton & Hove Albion,0.6,2.6,28.0
Matchweek 17,Home,L,0.0,2.0,Everton,0.7,1.4,61.0
Matchweek 18,Away,W,2.0,0.0,Fulham,0.4,1.3,34.0
Matchweek 19,Home,L,0.0,2.0,Liverpool,0.8,1.8,32.0
Matchweek 20,Away,L,2.0,3.0,Aston Villa,1.2,3.2,36.0
Matchweek 21,Home,D,1.0,1.0,Luton Town,1.1,0.9,39.0
Matchweek 22,Away,L,1.0,3.0,Manchester City,1.4,1.7,26.0
Matchweek 23,Home,D,2.0,2.0,Fulham,1.8,1.5,44.0
Matchweek 24,Away,L,1.0,3.0,Liverpool,1.3,2.8,30.0
Matchweek 25,Home,L,0.0,5.0,Arsenal,0.3,2.3,36.0
Matchweek 26,Away,L,0.0,3.0,Crystal Palace,0.1,2.4,44.0
Matchweek 27,Home,L,0.0,2.0,Bournemouth,1.5,1.1,74.0
Matchweek 28,Away,D,2.0,2.0,West Ham United,0.7,2.1,48.0
Matchweek 29,Home,W,2.0,1.0,Brentford,2.8,1.1,60.0
Matchweek 30,Away,D,2.0,2.0,Chelsea,1.6,4.2,31.0
Matchweek 31,Home,D,1.0,1.0,Wolverhampton Wanderers,1.3,0.9,51.0
Matchweek 32,Away,L,0.0,1.0,Everton,0.5,0.9,62.0
Matchweek 33,Home,D,1.0,1.0,Brighton & Hove Albion,1.7,0.9,45.0
Matchweek 34,Away,W,4.0,1.0,Sheffield United,2.2,2.4,51.0
Matchweek 35,Away,D,1.0,1.0,Manchester United,2.1,2.7,52.0
Matchweek 36,Home,L,1.0,4.0,Newcastle United,1.0,3.4,47.0
Matchweek 37,Away,L,1.0,2.0,Tottenham Hotspur,0.7,2.7,37.0
Matchweek 38,Home,,,,Nottingham Forest,,,
