Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Burnley,Manchester City,L,Home,0,3,0.3,1.9,35
Matchweek 3,Burnley,Aston Villa,L,Home,1,3,0.7,2.5,57
Matchweek 4,Burnley,Tottenham,L,Home,2,5,1.3,2.2,47
Matchweek 5,Burnley,Nott'ham Forest,D,Away,1,1,0.5,0.7,54
Matchweek 6,Burnley,Manchester Utd,L,Home,0,1,1.1,1.0,61
Matchweek 7,Burnley,Newcastle Utd,L,Away,0,2,0.6,3.1,47
Matchweek 2,Burnley,Luton Town,W,Away,2,1,1.1,1.3,51
Matchweek 8,Burnley,Chelsea,L,Home,1,4,0.7,1.9,38
Matchweek 9,Burnley,Brentford,L,Away,0,3,1.1,3.1,50
Matchweek 10,Burnley,Bournemouth,L,Away,1,2,0.8,1.1,55
Matchweek 11,Burnley,Crystal Palace,L,Home,0,2,1.1,1.3,67
Matchweek 12,Burnley,Arsenal,L,Away,1,3,0.3,1.8,37
Matchweek 13,Burnley,West Ham,L,Home,1,2,1.3,0.9,50
Matchweek 14,Burnley,Sheffield Utd,W,Home,5,0,1.8,0.4,63
Matchweek 15,Burnley,Wolves,L,Away,0,1,0.9,0.8,49
Matchweek 16,Burnley,Brighton,D,Away,1,1,0.6,2.6,28
Matchweek 17,Burnley,Everton,L,Home,0,2,0.7,1.4,61
Matchweek 18,Burnley,Fulham,W,Away,2,0,0.4,1.3,34
Matchweek 19,Burnley,Liverpool,L,Home,0,2,0.8,1.8,32
Matchweek 20,Burnley,Aston Villa,L,Away,2,3,1.2,3.2,36
Matchweek 21,Burnley,Luton Town,D,Home,1,1,1.1,0.9,39
Matchweek 22,Burnley,Manchester City,L,Away,1,3,1.4,1.7,26
Matchweek 23,Burnley,Fulham,D,Home,2,2,1.8,1.5,44
Matchweek 24,Burnley,Liverpool,L,Away,1,3,1.3,2.8,30
Matchweek 25,Burnley,Arsenal,L,Home,0,5,0.3,2.3,36
Matchweek 26,Burnley,Crystal Palace,L,Away,0,3,0.1,2.4,44
Matchweek 27,Burnley,Bournemouth,L,Home,0,2,1.5,1.1,74
Matchweek 28,Burnley,West Ham,D,Away,2,2,0.7,2.1,48
Matchweek 29,Burnley,Brentford,W,Home,2,1,2.8,1.1,60
Matchweek 30,Burnley,Chelsea,D,Away,2,2,1.6,4.2,31
Matchweek 31,Burnley,Wolves,D,Home,1,1,1.3,0.9,51
Matchweek 32,Burnley,Everton,L,Away,0,1,0.5,0.9,62
Matchweek 33,Burnley,Brighton,D,Home,1,1,1.7,0.9,44
Matchweek 34,Burnley,Sheffield Utd,W,Away,4,1,2.2,2.4,51
Matchweek 35,Burnley,Manchester Utd,D,Away,1,1,2.1,2.7,52
Matchweek 36,Burnley,Newcastle Utd,L,Home,1,4,1.0,3.4,47
Matchweek 37,Burnley,Tottenham,L,Away,1,2,0.7,2.7,37
Matchweek 38,Burnley,Nott'ham Forest,L,Home,1,2,1.2,1.7,72
