Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Matchweek 1,Home,D,1.0,1.0,Liverpool,1.4,1.3,65.0
Matchweek 2,Away,L,1.0,3.0,West Ham United,2.5,1.8,75.0
Matchweek 3,Home,W,3.0,0.0,Luton Town,2.2,0.4,67.0
Matchweek 4,Home,L,0.0,1.0,Nottingham Forest,2.3,0.8,75.0
Matchweek 5,Away,D,0.0,0.0,Bournemouth,1.8,1.0,64.0
Matchweek 6,Home,L,0.0,1.0,Aston Villa,1.3,1.0,53.0
Matchweek 7,Away,W,2.0,0.0,Fulham,1.7,1.1,44.0
Matchweek 8,Away,W,4.0,1.0,Burnley,1.9,0.7,62.0
Matchweek 9,Home,D,2.0,2.0,Arsenal,1.3,1.0,44.0
Matchweek 10,Home,L,0.0,2.0,Brentford,1.9,2.2,68.0
Matchweek 11,Away,W,4.0,1.0,Tottenham Hotspur,4.1,0.9,60.0
Matchweek 12,Home,D,4.0,4.0,Manchester City,2.9,2.9,45.0
Matchweek 13,Away,L,1.0,4.0,Newcastle United,0.5,2.4,46.0
Matchweek 14,Home,W,3.0,2.0,Brighton & Hove Albion,2.1,1.1,32.0
Matchweek 15,Away,L,1.0,2.0,Manchester United,1.5,4.1,55.0
Matchweek 16,Away,L,0.0,2.0,Everton,0.9,1.2,71.0
Matchweek 17,Home,W,2.0,0.0,Sheffield United,3.1,0.4,78.0
Matchweek 18,Away,L,1.0,2.0,Wolverhampton Wanderers,2.0,1.3,68.0
Matchweek 19,Home,W,2.0,1.0,Crystal Palace,2.6,1.1,63.0
Matchweek 20,Away,W,3.0,2.0,Luton Town,1.5,2.3,48.0
Matchweek 21,Home,W,1.0,0.0,Fulham,2.2,0.8,55.0
Matchweek 22,Away,L,1.0,4.0,Liverpool,0.6,2.9,50.0
Matchweek 23,Home,L,2.0,4.0,Wolverhampton Wanderers,1.7,2.0,64.0
Matchweek 24,Away,W,3.0,1.0,Crystal Palace,1.4,0.6,77.0
Matchweek 25,Away,D,1.0,1.0,Manchester City,1.4,2.6,30.0
Matchweek 27,Away,D,2.0,2.0,Brentford,1.8,1.8,67.0
Matchweek 28,Home,W,3.0,2.0,Newcastle United,1.6,0.7,44.0
Matchweek 30,Home,D,2.0,2.0,Burnley,4.2,1.6,69.0
Matchweek 31,Home,W,4.0,3.0,Manchester United,3.0,1.5,57.0
Matchweek 32,Away,D,2.0,2.0,Sheffield United,0.3,1.4,68.0
Matchweek 33,Home,W,6.0,0.0,Everton,3.1,1.5,58.0
Matchweek 29,Away,L,0.0,5.0,Arsenal,1.6,3.3,55.0
Matchweek 35,Away,D,2.0,2.0,Aston Villa,1.6,1.1,71.0
Matchweek 26,Home,W,2.0,0.0,Tottenham Hotspur,2.2,1.6,37.0
Matchweek 36,Home,W,5.0,0.0,West Ham United,4.1,0.9,69.0
Matchweek 37,Away,W,3.0,2.0,Nottingham Forest,1.6,1.5,67.0
Matchweek 34,Away,W,2.0,1.0,Brighton & Hove Albion,1.5,1.1,45.0
Matchweek 38,Home,,,,Bournemouth,,,
