Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Fulham,Everton,W,Away,1,0,1.5,2.7,58
Matchweek 2,Fulham,Brentford,L,Home,0,3,0.5,3.7,55
Matchweek 3,Fulham,Arsenal,D,Away,2,2,0.6,3.2,29
Matchweek 4,Fulham,Manchester City,L,Away,1,5,1.4,2.2,32
Matchweek 5,Fulham,Luton Town,W,Home,1,0,1.0,1.1,77
Matchweek 6,Fulham,Crystal Palace,D,Away,0,0,0.6,0.3,49
Matchweek 7,Fulham,Chelsea,L,Home,0,2,1.1,1.7,56
Matchweek 8,Fulham,Sheffield Utd,W,Home,3,1,2.2,0.6,60
Matchweek 9,Fulham,Tottenham,L,Away,0,2,1.0,1.5,45
Matchweek 10,Fulham,Brighton,D,Away,1,1,0.7,1.4,29
Matchweek 11,Fulham,Manchester Utd,L,Home,0,1,1.0,0.7,45
Matchweek 12,Fulham,Aston Villa,L,Away,1,3,0.9,3.0,49
Matchweek 13,Fulham,Wolves,W,Home,3,2,2.9,1.4,60
Matchweek 14,Fulham,Liverpool,L,Away,3,4,1.2,2.1,39
Matchweek 15,Fulham,Nott'ham Forest,W,Home,5,0,2.5,0.3,63
Matchweek 16,Fulham,West Ham,W,Home,5,0,2.3,1.3,63
Matchweek 17,Fulham,Newcastle Utd,L,Away,0,3,0.3,3.5,30
Matchweek 18,Fulham,Burnley,L,Home,0,2,1.3,0.4,66
Matchweek 19,Fulham,Bournemouth,L,Away,0,3,0.3,1.8,57
Matchweek 20,Fulham,Arsenal,W,Home,2,1,1.2,1.6,40
Matchweek 21,Fulham,Chelsea,L,Away,0,1,0.8,2.2,45
Matchweek 22,Fulham,Everton,D,Home,0,0,1.6,1.9,70
Matchweek 23,Fulham,Burnley,D,Away,2,2,1.5,1.8,56
Matchweek 24,Fulham,Bournemouth,W,Home,3,1,1.6,1.8,49
Matchweek 25,Fulham,Aston Villa,L,Home,1,2,1.5,1.5,52
Matchweek 26,Fulham,Manchester Utd,W,Away,2,1,1.2,1.7,43
Matchweek 27,Fulham,Brighton,W,Home,3,0,1.3,1.3,30
Matchweek 28,Fulham,Wolves,L,Away,1,2,2.6,0.8,52
Matchweek 29,Fulham,Tottenham,W,Home,3,0,2.6,2.4,43
Matchweek 30,Fulham,Sheffield Utd,D,Away,3,3,1.3,1.9,73
Matchweek 31,Fulham,Nott'ham Forest,L,Away,1,3,1.5,1.5,66
Matchweek 32,Fulham,Newcastle Utd,L,Home,0,1,1.2,1.0,66
Matchweek 33,Fulham,West Ham,W,Away,2,0,3.2,0.9,42
Matchweek 34,Fulham,Liverpool,L,Home,1,3,0.8,1.0,40
Matchweek 35,Fulham,Crystal Palace,D,Home,1,1,1.1,1.0,53
Matchweek 36,Fulham,Brentford,D,Away,0,0,1.3,0.6,46
Matchweek 37,Fulham,Manchester City,L,Home,0,4,0.1,3.2,36
Matchweek 38,Fulham,Luton Town,W,Away,4,2,1.1,2.0,59
