Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Luton-Town,Brighton,L,Away,1,4,1.5,4.0,30
Matchweek 3,Luton-Town,Chelsea,L,Away,0,3,0.4,2.2,33
Matchweek 4,Luton-Town,West Ham,L,Home,1,2,1.4,1.0,39
Matchweek 5,Luton-Town,Fulham,L,Away,0,1,1.1,1.0,23
Matchweek 6,Luton-Town,Wolves,D,Home,1,1,2.1,0.6,57
Matchweek 7,Luton-Town,Everton,W,Away,2,1,0.9,2.9,33
Matchweek 2,Luton-Town,Burnley,L,Home,1,2,1.3,1.1,49
Matchweek 8,Luton-Town,Tottenham,L,Home,0,1,0.8,1.9,34
Matchweek 9,Luton-Town,Nott'ham Forest,D,Away,2,2,1.7,2.9,43
Matchweek 10,Luton-Town,Aston Villa,L,Away,1,3,0.5,2.3,30
Matchweek 11,Luton-Town,Liverpool,D,Home,1,1,0.8,2.6,27
Matchweek 12,Luton-Town,Manchester Utd,L,Away,0,1,0.4,2.2,36
Matchweek 13,Luton-Town,Crystal Palace,W,Home,2,1,0.9,1.6,39
Matchweek 14,Luton-Town,Brentford,L,Away,1,3,0.2,3.1,32
Matchweek 15,Luton-Town,Arsenal,L,Home,3,4,0.5,2.2,34
Matchweek 16,Luton-Town,Manchester City,L,Home,1,2,0.3,1.6,35
Matchweek 18,Luton-Town,Newcastle Utd,W,Home,1,0,1.4,1.4,35
Matchweek 19,Luton-Town,Sheffield Utd,W,Away,3,2,0.6,2.4,49
Matchweek 20,Luton-Town,Chelsea,L,Home,2,3,2.3,1.5,52
Matchweek 21,Luton-Town,Burnley,D,Away,1,1,0.9,1.1,61
Matchweek 22,Luton-Town,Brighton,W,Home,4,0,3.1,0.9,41
Matchweek 23,Luton-Town,Newcastle Utd,D,Away,4,4,2.4,2.3,45
Matchweek 24,Luton-Town,Sheffield Utd,L,Home,1,3,1.8,1.7,74
Matchweek 25,Luton-Town,Manchester Utd,L,Home,1,2,1.8,2.9,58
Matchweek 26,Luton-Town,Liverpool,L,Away,1,4,0.9,3.3,40
Matchweek 27,Luton-Town,Aston Villa,L,Home,2,3,1.8,1.9,46
Matchweek 28,Luton-Town,Crystal Palace,D,Away,1,1,0.8,2.7,51
Matchweek 17,Luton-Town,Bournemouth,L,Away,3,4,2.0,2.3,41
Matchweek 29,Luton-Town,Nott'ham Forest,D,Home,1,1,0.6,2.0,60
Matchweek 30,Luton-Town,Tottenham,L,Away,1,2,0.5,2.9,30
Matchweek 31,Luton-Town,Arsenal,L,Away,0,2,0.3,0.7,42
Matchweek 32,Luton-Town,Bournemouth,W,Home,2,1,1.5,0.4,55
Matchweek 33,Luton-Town,Manchester City,L,Away,1,5,0.5,4.2,27
Matchweek 34,Luton-Town,Brentford,L,Home,1,5,0.6,3.1,53
Matchweek 35,Luton-Town,Wolves,L,Away,1,2,0.6,1.2,42
Matchweek 36,Luton-Town,Everton,D,Home,1,1,0.8,1.4,51
Matchweek 37,Luton-Town,West Ham,L,Away,1,3,0.3,3.2,42
Matchweek 38,Luton-Town,Fulham,L,Home,2,4,2.0,1.1,41
