Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Manchester-City,Burnley,W,Away,3,0,1.9,0.3,65
Matchweek 2,Manchester-City,Newcastle-United,W,Home,1,0,1.0,0.3,59
Matchweek 3,Manchester-City,Sheffield-United,W,Away,2,1,3.5,0.7,79
Matchweek 4,Manchester-City,Fulham,W,Home,5,1,2.2,1.4,68
Matchweek 5,Manchester-City,West-Ham-United,W,Away,3,1,3.6,0.9,68
Matchweek 6,Manchester-City,Nottingham-Forest,W,Home,2,0,1.3,1.0,57
Matchweek 7,Manchester-City,Wolves,L,Away,1,2,0.9,0.4,68
Matchweek 8,Manchester-City,Arsenal,L,Away,0,1,0.5,0.4,51
Matchweek 9,Manchester-City,Brighton,W,Home,2,1,0.8,0.8,55
Matchweek 10,Manchester-City,Manchester-United,W,Away,3,0,4.0,0.9,60
Matchweek 11,Manchester-City,Bournemouth,W,Home,6,1,1.9,0.9,65
Matchweek 12,Manchester-City,Chelsea,D,Away,4,4,2.9,2.9,55
Matchweek 13,Manchester-City,Liverpool,D,Home,1,1,1.3,0.6,59
Matchweek 14,Manchester-City,Tottenham,D,Home,3,3,2.6,0.5,55
Matchweek 15,Manchester-City,Aston-Villa,L,Away,0,1,0.6,2.3,54
Matchweek 16,Manchester-City,Luton-Town,W,Away,2,1,1.6,0.3,65
Matchweek 17,Manchester-City,Crystal-Palace,D,Home,2,2,1.6,1.8,74
Matchweek 19,Manchester-City,Everton,W,Away,3,1,2.4,1.0,72
Matchweek 20,Manchester-City,Sheffield-United,W,Home,2,0,2.2,0.3,80
Matchweek 21,Manchester-City,Newcastle-United,W,Away,3,2,3.0,1.3,72
Matchweek 22,Manchester-City,Burnley,W,Home,3,1,1.7,1.4,74
Matchweek 23,Manchester-City,Brentford,W,Away,3,1,2.1,1.0,72
Matchweek 24,Manchester-City,Everton,W,Home,2,0,1.6,0.3,72
Matchweek 25,Manchester-City,Chelsea,D,Home,1,1,2.6,1.4,70
Matchweek 18,Manchester-City,Brentford,W,Home,1,0,2.3,0.4,70
Matchweek 26,Manchester-City,Bournemouth,W,Away,1,0,1.6,0.9,62
Matchweek 27,Manchester-City,Manchester-United,W,Home,3,1,3.3,0.2,73
Matchweek 28,Manchester-City,Liverpool,D,Away,1,1,1.6,2.7,47
Matchweek 30,Manchester-City,Arsenal,D,Home,0,0,1.0,0.7,72
Matchweek 31,Manchester-City,Aston-Villa,W,Home,4,1,3.4,0.8,67
Matchweek 32,Manchester-City,Crystal-Palace,W,Away,4,2,1.9,1.1,75
Matchweek 33,Manchester-City,Luton-Town,W,Home,5,1,4.2,0.5,73
Matchweek 29,Manchester-City,Brighton,W,Away,4,0,1.4,0.6,64
Matchweek 35,Manchester-City,Nottingham-Forest,W,Away,2,0,0.9,1.9,66
Matchweek 36,Manchester-City,Wolves,W,Home,5,1,3.7,0.3,58
Matchweek 37,Manchester-City,Fulham,W,Away,4,0,3.2,0.1,64
Matchweek 34,Manchester-City,Tottenham,W,Away,2,0,2.4,1.7,47
Matchweek 38,Manchester-City,West-Ham-United,W,Home,3,1,1.9,0.4,71
