Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Manchester-United,Wolves,W,Home,1,0,2.2,2.2,51
Matchweek 2,Manchester-United,Tottenham,L,Away,0,2,2.1,1.7,45
Matchweek 3,Manchester-United,Nottingham-Forest,W,Home,3,2,2.8,1.2,66
Matchweek 4,Manchester-United,Arsenal,L,Away,1,3,0.9,2.3,45
Matchweek 5,Manchester-United,Brighton,L,Home,1,3,1.0,1.7,44
Matchweek 6,Manchester-United,Burnley,W,Away,1,0,1.0,1.1,39
Matchweek 7,Manchester-United,Crystal-Palace,L,Home,0,1,1.3,0.9,77
Matchweek 8,Manchester-United,Brentford,W,Home,2,1,1.4,0.9,64
Matchweek 9,Manchester-United,Sheffield-United,W,Away,2,1,1.1,1.4,62
Matchweek 10,Manchester-United,Manchester-City,L,Home,0,3,0.9,4.0,40
Matchweek 11,Manchester-United,Fulham,W,Away,1,0,0.7,1.0,55
Matchweek 12,Manchester-United,Luton-Town,W,Home,1,0,2.2,0.4,64
Matchweek 13,Manchester-United,Everton,W,Away,3,0,2.2,2.4,49
Matchweek 14,Manchester-United,Newcastle-United,L,Away,0,1,0.5,2.4,42
Matchweek 15,Manchester-United,Chelsea,W,Home,2,1,4.1,1.5,45
Matchweek 16,Manchester-United,Bournemouth,L,Home,0,3,1.1,1.5,68
Matchweek 17,Manchester-United,Liverpool,D,Away,0,0,0.8,2.3,32
Matchweek 18,Manchester-United,West-Ham-United,L,Away,0,2,1.0,1.2,65
Matchweek 19,Manchester-United,Aston-Villa,W,Home,3,2,1.1,1.7,46
Matchweek 20,Manchester-United,Nottingham-Forest,L,Away,1,2,0.8,0.7,56
Matchweek 21,Manchester-United,Tottenham,D,Home,2,2,0.8,1.2,37
Matchweek 22,Manchester-United,Wolves,W,Away,4,3,3.3,2.1,47
Matchweek 23,Manchester-United,West-Ham-United,W,Home,3,0,0.7,1.4,51
Matchweek 24,Manchester-United,Aston-Villa,W,Away,2,1,1.8,2.4,44
Matchweek 25,Manchester-United,Luton-Town,W,Away,2,1,2.9,1.8,42
Matchweek 26,Manchester-United,Fulham,L,Home,1,2,1.7,1.2,57
Matchweek 27,Manchester-United,Manchester-City,L,Away,1,3,0.2,3.3,27
Matchweek 28,Manchester-United,Everton,W,Home,2,0,2.7,1.6,51
Matchweek 30,Manchester-United,Brentford,D,Away,1,1,0.6,3.2,53
Matchweek 31,Manchester-United,Chelsea,L,Away,3,4,1.5,3.0,43
Matchweek 32,Manchester-United,Liverpool,D,Home,2,2,0.7,3.6,38
Matchweek 33,Manchester-United,Bournemouth,D,Away,2,2,1.2,1.6,57
Matchweek 29,Manchester-United,Sheffield-United,W,Home,4,2,2.9,0.8,71
Matchweek 35,Manchester-United,Burnley,D,Home,1,1,2.7,2.1,48
Matchweek 36,Manchester-United,Crystal-Palace,L,Away,0,4,0.4,1.7,57
Matchweek 37,Manchester-United,Arsenal,L,Home,0,1,0.5,1.5,54
Matchweek 34,Manchester-United,Newcastle-United,W,Home,3,2,1.4,2.3,45
Matchweek 38,Manchester-United,Brighton,W,Away,2,0,1.3,1.7,45
