Round,G/Sh,npxG/Sh
Matchweek 1,0.07,0.15
Matchweek 2,0.0,0.09
Matchweek 3,0.12,0.12
Matchweek 4,0.1,0.09
Matchweek 5,0.07,0.07
Matchweek 6,0.09,0.09
Matchweek 7,0.0,0.07
Matchweek 8,0.1,0.07
Matchweek 9,0.14,0.08
Matchweek 10,0.0,0.14
Matchweek 11,0.08,0.06
Matchweek 12,0.07,0.15
Matchweek 13,0.25,0.18
Matchweek 14,0.0,0.06
Matchweek 15,0.07,0.13
Matchweek 16,0.0,0.06
Matchweek 17,0.0,0.14
Matchweek 18,0.0,0.09
Matchweek 19,0.23,0.09
Matchweek 20,0.1,0.08
Matchweek 21,0.22,0.08
Matchweek 22,0.19,0.16
Matchweek 23,0.25,0.06
Matchweek 24,0.12,0.11
Matchweek 25,0.1,0.14
Matchweek 26,0.05,0.08
Matchweek 27,0.33,0.08
Matchweek 28,0.0,0.09
Matchweek 30,0.09,0.05
Matchweek 31,0.16,0.08
Matchweek 32,0.22,0.08
Matchweek 33,0.14,0.07
Matchweek 29,0.13,0.09
Matchweek 35,0.04,0.1
Matchweek 36,0.0,0.05
Matchweek 37,0.0,0.04
Matchweek 34,0.18,0.08
,0.09,0.09
