Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
1,Nott'ham Forest,W,Home,2,1,0.8,1.2,78,,,,,,1,
1,Newcastle Utd,L,Away,1,5,1.8,3.3,48,,,,,,-1,
1,West Ham,D,Home,1,1,1.3,1.1,62,,,,,,0,
1,Tottenham,D,Home,2,2,2.2,1.3,31,,,,,,0,
1,Luton Town,W,Home,4,1,4.0,1.5,70,,,,,,1,
1,Manchester City,L,Home,0,3,0.3,1.9,35,,,,,,-1,
1,Liverpool,D,Home,1,1,1.4,1.3,65,,,,,,0,
1,Sheffield Utd,W,Away,1,0,1.9,0.5,68,,,,,,1,
1,Fulham,L,Home,0,1,2.7,1.5,42,,,,,,-1,
1,Everton,W,Away,1,0,1.5,2.7,58,,,,,,1,
1,Chelsea,D,Away,1,1,1.3,1.4,35,,,,,,0,
1,Brighton,L,Away,1,4,1.5,4.0,30,,,,,,-1,
1,Burnley,W,Away,3,0,1.9,0.3,65,,,,,,1,
1,Wolves,W,Home,1,0,2.2,2.2,51,,,,,,1,
1,Aston Villa,W,Home,5,1,3.3,1.8,52,,,,,,1,
1,Arsenal,L,Away,1,2,1.2,0.8,22,,,,,,-1,
1,Crystal Palace,L,Home,0,1,0.5,1.9,32,,,,,,-1,
1,Brentford,D,Away,2,2,1.3,2.2,69,,,,,,0,
1,Bournemouth,D,Away,1,1,1.1,1.3,38,,,,,,0,
1,Manchester Utd,L,Away,0,1,2.2,2.2,49,,,,,,-1,
2,Crystal Palace,W,Away,1,0,2.0,1.0,53,2.0,1.0,0.8,1.2,78.0,1,
2,Everton,W,Home,4,0,2.9,0.6,60,1.0,5.0,1.8,3.3,48.0,1,
2,Liverpool,L,Away,1,3,1.3,3.0,36,1.0,1.0,1.3,1.1,62.0,-1,
2,Fulham,W,Away,3,0,3.7,0.5,45,2.0,2.0,2.2,1.3,31.0,1,
2,Wolves,W,Away,4,1,2.2,2.1,53,4.0,1.0,4.0,1.5,70.0,1,
2,Luton Town,W,Away,2,1,1.1,1.3,51,0.0,3.0,0.3,1.9,35.0,1,
2,West Ham,L,Away,1,3,2.5,1.8,75,1.0,1.0,1.4,1.3,65.0,-1,
2,Arsenal,L,Home,0,1,1.0,2.0,47,1.0,0.0,1.9,0.5,68.0,-1,
2,Aston Villa,L,Away,0,4,0.6,2.9,40,0.0,1.0,2.7,1.5,42.0,-1,
2,Brentford,L,Home,0,3,0.5,3.7,55,1.0,0.0,1.5,2.7,58.0,-1,
2,Bournemouth,W,Home,3,1,3.0,1.3,64,1.0,1.0,1.3,1.4,35.0,1,
2,Burnley,L,Home,1,2,1.3,1.1,49,1.0,4.0,1.5,4.0,30.0,-1,
2,Newcastle Utd,W,Home,1,0,1.0,0.3,59,3.0,0.0,1.9,0.3,65.0,1,
2,Tottenham,L,Away,0,2,2.1,1.7,45,1.0,0.0,2.2,2.2,51.0,-1,
2,Manchester City,L,Away,0,1,0.3,1.0,41,5.0,1.0,3.3,1.8,52.0,-1,
2,Sheffield Utd,W,Home,2,1,1.4,0.5,50,1.0,2.0,1.2,0.8,22.0,1,
2,Nott'ham Forest,L,Away,1,2,0.5,1.4,50,0.0,1.0,0.5,1.9,32.0,-1,
2,Manchester Utd,W,Home,2,0,1.7,2.1,55,2.0,2.0,1.3,2.2,69.0,1,
2,Chelsea,W,Home,3,1,1.8,2.5,25,1.0,1.0,1.1,1.3,38.0,1,
2,Brighton,L,Home,1,4,2.1,2.2,47,0.0,1.0,2.2,2.2,49.0,-1,
3,Fulham,D,Home,2,2,3.2,0.6,71,1.5,0.5,1.4,1.1,65.5,0,
3,Burnley,W,Away,3,1,2.5,0.7,43,2.5,2.5,2.35,1.95,54.0,1,
3,Tottenham,L,Home,0,2,0.7,2.1,44,1.0,2.0,1.3,2.05,49.0,-1,
3,Crystal Palace,D,Home,1,1,1.0,0.8,60,2.5,1.0,2.95,0.9,38.0,0,
3,West Ham,L,Home,1,3,1.5,3.0,78,4.0,1.0,3.1,1.8,61.5,-1,
3,Aston Villa,L,Home,1,3,0.7,2.5,57,1.0,2.0,0.7000000000000001,1.6,43.0,-1,
3,Luton Town,W,Home,3,0,2.2,0.4,67,1.0,2.0,1.95,1.55,70.0,1,
3,Brentford,D,Away,1,1,0.8,1.0,40,0.5,0.5,1.45,1.25,57.5,0,
3,Wolves,L,Home,0,1,1.3,1.1,47,0.0,2.5,1.6500000000000001,2.2,41.0,-1,
