Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Wolverhampton-Wanderers,Manchester-United,L,Away,0,1,2.2,2.2,49
Matchweek 2,Wolverhampton-Wanderers,Brighton-and-Hove-Albion,L,Home,1,4,2.1,2.2,47
Matchweek 3,Wolverhampton-Wanderers,Everton,W,Away,1,0,1.1,1.3,53
Matchweek 4,Wolverhampton-Wanderers,Crystal-Palace,L,Away,2,3,1.2,2.1,57
Matchweek 5,Wolverhampton-Wanderers,Liverpool,L,Home,1,3,0.6,2.5,35
Matchweek 6,Wolverhampton-Wanderers,Luton-Town,D,Away,1,1,0.6,2.1,43
Matchweek 7,Wolverhampton-Wanderers,Manchester-City,W,Home,2,1,0.4,0.9,32
Matchweek 8,Wolverhampton-Wanderers,Aston-Villa,D,Home,1,1,1.7,1.6,47
Matchweek 9,Wolverhampton-Wanderers,Bournemouth,W,Away,2,1,2.4,0.6,65
Matchweek 10,Wolverhampton-Wanderers,Newcastle-United,D,Home,2,2,0.9,2.2,43
Matchweek 11,Wolverhampton-Wanderers,Sheffield-United,L,Away,1,2,1.2,1.0,61
Matchweek 12,Wolverhampton-Wanderers,Tottenham,W,Home,2,1,2.1,0.7,42
Matchweek 13,Wolverhampton-Wanderers,Fulham,L,Away,2,3,1.4,2.9,40
Matchweek 14,Wolverhampton-Wanderers,Arsenal,L,Away,1,2,0.7,2.8,43
Matchweek 15,Wolverhampton-Wanderers,Burnley,W,Home,1,0,0.8,0.9,51
Matchweek 16,Wolverhampton-Wanderers,Nottingham-Forest,D,Home,1,1,1.2,1.3,68
Matchweek 17,Wolverhampton-Wanderers,West-Ham-United,L,Away,0,3,0.7,1.1,55
Matchweek 18,Wolverhampton-Wanderers,Chelsea,W,Home,2,1,1.3,2.0,32
Matchweek 19,Wolverhampton-Wanderers,Brentford,W,Away,4,1,2.4,2.2,40
Matchweek 20,Wolverhampton-Wanderers,Everton,W,Home,3,0,1.9,0.4,53
Matchweek 21,Wolverhampton-Wanderers,Brighton-and-Hove-Albion,D,Away,0,0,1.1,1.0,28
Matchweek 22,Wolverhampton-Wanderers,Manchester-United,L,Home,3,4,2.1,3.3,53
Matchweek 23,Wolverhampton-Wanderers,Chelsea,W,Away,4,2,2.0,1.7,36
Matchweek 24,Wolverhampton-Wanderers,Brentford,L,Home,0,2,1.0,1.9,71
Matchweek 25,Wolverhampton-Wanderers,Tottenham,W,Away,2,1,1.8,1.6,29
Matchweek 26,Wolverhampton-Wanderers,Sheffield-United,W,Home,1,0,1.3,0.6,63
Matchweek 27,Wolverhampton-Wanderers,Newcastle-United,L,Away,0,3,0.8,2.1,56
Matchweek 28,Wolverhampton-Wanderers,Fulham,W,Home,2,1,0.8,2.6,48
Matchweek 30,Wolverhampton-Wanderers,Aston-Villa,L,Away,0,2,1.5,1.0,52
Matchweek 31,Wolverhampton-Wanderers,Burnley,D,Away,1,1,0.9,1.3,49
Matchweek 32,Wolverhampton-Wanderers,West-Ham-United,L,Home,1,2,1.5,1.2,58
Matchweek 33,Wolverhampton-Wanderers,Nottingham-Forest,D,Away,2,2,1.0,1.9,54
Matchweek 34,Wolverhampton-Wanderers,Arsenal,L,Home,0,2,0.2,1.2,46
Matchweek 29,Wolverhampton-Wanderers,Bournemouth,L,Home,0,1,0.5,1.9,63
Matchweek 35,Wolverhampton-Wanderers,Luton-Town,W,Home,2,1,1.2,0.6,58
Matchweek 36,Wolverhampton-Wanderers,Manchester-City,L,Away,1,5,0.3,3.7,42
Matchweek 37,Wolverhampton-Wanderers,Crystal-Palace,L,Home,1,3,1.6,2.6,62
Matchweek 38,Wolverhampton-Wanderers,Liverpool,L,Away,0,2,0.5,4.5,33
